objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Eye to Eye","15386","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32083563","5.56179","6.42108","1.0476","12196","234","thing","Eye to Eye","3","6","30","30","30","2004","5,6","6","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Face to Face: A Cubist Strategy Game","67932","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32083592","0","2.51786","1","0","63","thing","Face to Face: A Cubist Strategy Game","2","4","30","30","30","2009","4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Fairy Tale","13823","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","32083613","6.43462","6.69484","1.7666","1511","12930","thing","Fairy Tale","2","5","30","30","30","2004","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"A Fake Artist Goes to New York","135779","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66266725","6.79376","7.09912","1.0942","771","21258","thing","A Fake Artist Goes to New York","5","10","20","20","20","2011","5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fallout","232918","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","119254590","6.49505","6.9156","3.0033","1360","20119","thing","Fallout","1","4","180","180","120","2017","1,2,3","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"La Familia Hort","319736","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","148901611","5.57936","6.98177","1.3636","10777","509","thing","La Familia Hort","2","4","40","40","30","2020","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fantahzee: Hordes & Heroes","197061","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","113474628","5.58707","6.23655","2","10264","729","thing","Fantahzee: Hordes & Heroes","2","5","40","40","30","2016","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Farkle","3181","5","0","0","0","0","0","0","0","1","0","0","3","","","","","","32083618","5.56117","5.68914","1.1146","12255","9533","thing","Farkle","2","6","30","30","30","1930","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"A Feast for Odin","177736","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","62271521","7.93945","8.16016","3.8683","26","44624","thing","A Feast for Odin","1","4","120","120","30","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Fictions: Memoirs of a Gangster","378731","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","149777497","5.5787","6.87779","1.8889","10825","438","thing","Fictions: Memoirs of a Gangster","1","4","90","90","30","2023","1,2,3,4","2,3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Find It: Deluxe Edition","122499","5","0","0","1","0","0","0","0","0","0","0","3","","kids & Old games (2 editions)","","","","32083641","5.48158","4.40943","0","29573","130","thing","Find It: Deluxe Edition","2","0","0","0","0","2002","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Finders Creepers","417073","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","130512769","5.53126","6.58261","1","16628","488","thing","Finders Creepers","2","4","45","45","30","2024","2,3","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Fire Tower","226605","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136903042","6.267","7.07299","1.7391","2009","7863","thing","Fire Tower","2","4","30","30","15","2019","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Firefly: The Game","138161","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","53491785","6.97986","7.38107","2.9542","529","24208","thing","Firefly: The Game","1","4","240","240","120","2013","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Fish In A Barrel: The Fish-Linking Game","159557","0","0","0","0","0","0","0","0","1","0","0","3","","kids","","","","60794621","0","3.5","0","0","23","thing","Fish In A Barrel: The Fish-Linking Game","2","4","0","0","0","2011","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Five Tribes: The Djinns of Naqala","157354","8","0","0","1","0","0","0","0","0","0","0","3","","Main Box 
This is a great game, but I have trouble explaining the instructions to new players. There's quite a bit involved... ","","","","32083648","7.60577","7.76311","2.8369","98","60544","thing","Five Tribes: The Djinns of Naqala","2","4","80","80","40","2014","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Five Tribes: The Thieves of Naqala","199310","0","0","0","1","0","0","0","0","0","0","0","3","","In Main Box","","","","47181613","6.13671","7.23253","2.6667","0","6934","thing","Five Tribes: The Thieves of Naqala","2","4","80","80","40","2016","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Flamecraft","336986","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119378290","7.08436","7.36168","2.1875","410","47469","thing","Flamecraft","1","5","60","60","60","2022","1,2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Flapjacks & Sasquatches","39862","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","119378262","5.55645","6.04857","1.5","12724","925","thing","Flapjacks & Sasquatches","2","8","20","20","20","2008","2,3,4,5,6,7,8","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Flash Point: Fire Rescue","100901","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","59051285","6.96052","7.14047","2.1974","553","41043","thing","Flash Point: Fire Rescue","2","6","45","45","45","2011","1,2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Flash Point: Fire Rescue – Extreme Danger","139766","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","59051320","6.29781","7.69074","2.3043","0","8203","thing","Flash Point: Fire Rescue – Extreme Danger","2","6","45","45","45","2013","1,2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Flashback: Lucy","408308","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136976019","5.58203","7.37562","1","10612","375","thing","Flashback: Lucy","1","4","30","30","30","2024","1,2,3","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Flinch","2294","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32083653","5.45203","5.26567","1.1562","30770","2415","thing","Flinch","1","8","20","20","20","1903","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Flip Ships","223215","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","54467770","6.2236","6.97306","1.4211","2171","4086","thing","Flip Ships","1","4","45","45","30","2017","1,2,3,4","3,4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Floor Plan","275469","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","101065225","5.7767","6.37605","1.7727","5132","2544","thing","Floor Plan","1","100","40","40","20","2020","1,2,3,4","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Fluff","256701","0","0","0","0","0","0","0","0","1","0","0","3","","kids","","","","64998176","5.59508","6.60417","1.2857","9834","703","thing","Fluff","2","4","30","30","20","2018","3,4","4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Fog of Love","175324","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","130512743","6.31442","6.58512","2.247","1850","18630","thing","Fog of Love","2","2","120","120","60","2017","2","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Food Fight","245622","0","0","0","0","0","0","0","0","1","0","0","3","","kids","","","","109351211","0","5.55556","0","0","35","thing","Food Fight","2","7","30","30","15","2017","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Foodies","280896","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","81002593","5.71453","6.37733","1.6667","6120","1578","thing","Foodies","2","5","30","30","20","2019","2,3,4,5","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Desert","136063","7","0","0","1","0","0","0","0","0","0","0","3","","Like this cooperative game","","","","32083663","6.90656","7.05603","2.04","616","59275","thing","Forbidden Desert","2","5","45","45","45","2013","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Island","65244","7","0","0","1","0","0","0","0","0","0","0","3","","Like this cooperative game a lot!","","","","32083659","6.63764","6.74805","1.7406","1045","102366","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Sky","245271","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","63692646","6.00884","6.35795","2.5231","3159","12376","thing","Forbidden Sky","2","5","60","60","60","2018","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forest","235251","0","0","0","0","0","0","0","0","1","0","0","3","","small","","","","80013538","5.47309","5.3597","1","30114","1052","thing","Forest","2","5","15","15","15","2017","2,3,4,5","4","5–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fork Milk Kidnap","433411","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","149779174","0","5.33636","1","0","101","thing","Fork Milk Kidnap","3","10","0","0","0","2024","3,4,5,6,7,8,9,10","5,6,7","16","","","","","","","standalone","","","","","","","","","","","","","","",""
"Four Taverns","122867","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","130512777","5.51288","5.80815","1.3125","22223","439","thing","Four Taverns","2","4","35","35","35","2012","1,2,3,4","1,4","8","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fox in the Forest","221965","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","100265434","6.84884","7.04836","1.617","695","39741","thing","The Fox in the Forest","2","2","30","30","30","2017","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fox in the Forest Duet","288169","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","100265476","6.43126","6.95519","1.7742","1520","10978","thing","The Fox in the Forest Duet","2","2","30","30","30","2020","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fresco","66188","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119378255","6.96243","7.23765","2.6373","548","16886","thing","Fresco","2","4","60","60","60","2010","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Friday","43570","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","56692741","6.92705","7.11058","2.1576","601","42332","thing","Friday","1","1","25","25","25","2011","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
