ver_id,id,type
165641,20316,artist
165641,66328,artist
165641,24858,artist
165641,48601,artist
165641,19229,artist
196109,56728,artist
196109,20316,artist
196109,66328,artist
196109,24858,artist
196109,48601,artist
196109,19229,artist
187733,56728,artist
187733,20316,artist
187733,66328,artist
187733,24858,artist
187733,48601,artist
187733,19229,artist
240860,24858,artist
271654,56728,artist
271654,20316,artist
271654,66328,artist
271654,24858,artist
271654,70695,artist
271654,48601,artist
271654,19229,artist
287390,24858,artist
189758,56728,artist
189758,20316,artist
189758,66328,artist
189758,24858,artist
189758,48601,artist
189758,19229,artist
204079,56728,artist
204079,20316,artist
204079,66328,artist
204079,24858,artist
204079,48601,artist
204079,19229,artist
48135,11968,artist
48135,11902,artist
92827,11968,artist
92827,11902,artist
92827,12836,artist
20641,11968,artist
20641,11902,artist
20641,12836,artist
588298,11968,artist
588298,11902,artist
588298,12836,artist
93279,11968,artist
93279,11902,artist
93279,12836,artist
25734,11968,artist
25734,11902,artist
24435,11968,artist
24435,11902,artist
416750,11968,artist
416750,11902,artist
416750,12836,artist
25329,11968,artist
25329,11902,artist
70275,11968,artist
70275,11902,artist
175636,11968,artist
29703,11968,artist
29703,11902,artist
495250,11968,artist
495250,11902,artist
495250,12836,artist
517033,80022,artist
517033,78938,artist
520180,128613,artist
520180,80022,artist
520991,128614,artist
520991,128613,artist
520991,80022,artist
520991,78938,artist
518011,128614,artist
518011,128613,artist
518011,80022,artist
518011,78938,artist
549453,80022,artist
549453,78938,artist
314273,60376,artist
314273,73773,artist
314273,31001,artist
355386,60376,artist
355386,73773,artist
342515,60376,artist
342515,73773,artist
342515,31001,artist
367869,60376,artist
367869,73773,artist
367869,31001,artist
465945,60376,artist
465945,73773,artist
465945,31001,artist
493980,60376,artist
493980,73773,artist
493980,31001,artist
375355,60376,artist
375355,73773,artist
375355,31001,artist
275263,12484,artist
250684,12484,artist
356049,12484,artist
427332,12484,artist
556722,12484,artist
250930,12484,artist
241107,12484,artist
288647,12484,artist
293185,12484,artist
373294,12484,artist
158161,63787,artist
158161,38917,artist
158161,63785,artist
158161,38138,artist
158161,12540,artist
305097,63787,artist
305097,38917,artist
305097,12130,artist
305097,63785,artist
305097,69434,artist
305097,21002,artist
305097,38138,artist
305097,12540,artist
187905,63787,artist
187905,38917,artist
187905,63785,artist
187905,38138,artist
187905,12540,artist
271247,63787,artist
271247,38917,artist
271247,63785,artist
271247,38138,artist
271247,12540,artist
194989,63787,artist
194989,38917,artist
194989,63785,artist
194989,38138,artist
185175,38917,artist
185175,63785,artist
185175,38138,artist
185175,12540,artist
194490,38917,artist
194490,63785,artist
194490,38138,artist
194490,12540,artist
251877,63787,artist
251877,12540,artist
197071,63787,artist
197071,38917,artist
197071,63785,artist
197071,38138,artist
197071,12540,artist
493207,63787,artist
493207,38917,artist
493207,12130,artist
493207,80457,artist
493207,69434,artist
493207,21002,artist
493207,38138,artist
493207,12540,artist
253138,63787,artist
253138,38917,artist
253138,63785,artist
253138,69434,artist
253138,4735,artist
253138,12540,artist
598039,63787,artist
598039,38917,artist
598039,80457,artist
598039,63785,artist
598039,69434,artist
598039,21002,artist
598039,38138,artist
598039,12540,artist
469854,63787,artist
469854,38917,artist
469854,80457,artist
469854,63785,artist
469854,69434,artist
469854,21002,artist
469854,38138,artist
469854,12540,artist
531387,63787,artist
531387,38917,artist
531387,80457,artist
531387,63785,artist
531387,69434,artist
531387,21002,artist
531387,38138,artist
